Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Munich,48.1371079,11.5753822,Zum Kloster,48.13228746232307,11.600609923932844,German Restaurant
Munich,48.1371079,11.5753822,Löwenbräukeller,48.147865175389015,11.5586271128673,Brewery
Munich,48.1371079,11.5753822,Donisl,48.137800251110754,11.574525354146617,Bavarian Restaurant
Munich,48.1371079,11.5753822,Ringlers,48.134097,11.568302,Sandwich Place
Munich,48.1371079,11.5753822,Augustiner Schützengarten,48.104377945412786,11.53475758362341,Beer Garden
Munich,48.1371079,11.5753822,Augustiner am Platzl,48.13763509797162,11.579524291168592,German Restaurant
Munich,48.1371079,11.5753822,Michaeligarten,48.115204347029646,11.638041764802264,Bavarian Restaurant
Munich,48.1371079,11.5753822,Königlicher Hirschgarten,48.14974410551501,11.511319059656811,Beer Garden
Munich,48.1371079,11.5753822,Wirtshaus Eder,48.136105,11.530356,Bavarian Restaurant
Munich,48.1371079,11.5753822,Weinbauer,48.160002,11.58701,German Restaurant
Munich,48.1371079,11.5753822,Hirschau,48.162134942305876,11.602437616666268,Bavarian Restaurant
Munich,48.1371079,11.5753822,Isartaler Brauhaus,48.0711,11.5312,Bavarian Restaurant
Munich,48.1371079,11.5753822,Giesinger Bräu,48.115542431061165,11.576862211887484,Brewery
Munich,48.1371079,11.5753822,Waldwirtschaft Großhesselohe,48.06706036226372,11.539370119571686,Bavarian Restaurant
Munich,48.1371079,11.5753822,Wirtshaus am Bavariapark,48.132038287627275,11.543679436928237,German Restaurant
Munich,48.1371079,11.5753822,Gaststätte Großmarkthalle,48.118459148480795,11.553435126617329,Gastropub
Munich,48.1371079,11.5753822,Zum Kuchlverzeichnis,48.131624631045774,11.589332175127094,German Restaurant
Munich,48.1371079,11.5753822,Altes Hackerhaus,48.13574681149342,11.571300049317323,German Restaurant
Munich,48.1371079,11.5753822,Wirtshaus Hohenwart,48.11731739841742,11.579126309540134,German Restaurant
Munich,48.1371079,11.5753822,Weinhaus Neuner,48.137694048832856,11.568339898611708,German Restaurant
Munich,48.1371079,11.5753822,Wirtshaus Fraunhofer,48.13065931568387,11.57252369368198,German Restaurant
Munich,48.1371079,11.5753822,Ayingers Am Platzl,48.1379359335657,11.57992947607491,Bavarian Restaurant
Munich,48.1371079,11.5753822,Wirtshaus zur Brez'n,48.16022455364933,11.585862491994153,Bavarian Restaurant
Munich,48.1371079,11.5753822,Gasthaus Jagdschlössl,48.153152366284054,11.533591659941731,German Restaurant
Munich,48.1371079,11.5753822,Zum Franziskaner,48.139369835464294,11.577455821700408,German Restaurant
Munich,48.1371079,11.5753822,Gaststätte Bavaria,48.13911290133692,11.552735866084989,Bavarian Restaurant
Munich,48.1371079,11.5753822,Café Reitschule,48.15539231197611,11.588669660922628,Café
Munich,48.1371079,11.5753822,Klinglwirt,48.12679,11.59455,Bavarian Restaurant
Munich,48.1371079,11.5753822,Gasthof Obermaier,48.121619277159525,11.67023596226242,German Restaurant
Munich,48.1371079,11.5753822,Gaststätte Zum Brünnstein,48.129375,11.605269,German Restaurant
Munich,48.1371079,11.5753822,Turmstüberl im Valentinmusäum,48.13494229378556,11.58170512038376,Café
Munich,48.1371079,11.5753822,Aumeister,48.18576307168591,11.62025817386586,Beer Garden
Munich,48.1371079,11.5753822,Bapas,48.15906504918262,11.585614085197449,Bavarian Restaurant
Munich,48.1371079,11.5753822,Großwirt,48.1543616430716,11.52994889050899,Bavarian Restaurant
Munich,48.1371079,11.5753822,Wirtshaus Zum grünen Baum,48.16412929351051,11.47605842329502,Beer Garden
Munich,48.1371079,11.5753822,Platzl Hotel,48.137823218511954,11.578919222011917,Hotel
Munich,48.1371079,11.5753822,Sankt Emmeramsmühle,48.175870602608605,11.627085449368856,German Restaurant
Munich,48.1371079,11.5753822,Maximilian,48.12693589790864,11.572109402191225,Bavarian Restaurant
Munich,48.1371079,11.5753822,Spezlwirtschaft,48.127816,11.599515,German Restaurant
Munich,48.1371079,11.5753822,Scheidegger Brauhaus,48.159338765193496,11.57250884754801,Beer Bar
Munich,48.1371079,11.5753822,Pogner's Restaurant & Kegelbahn,48.10471041022085,11.545836637501916,German Restaurant
Munich,48.1371079,11.5753822,Palais Keller,48.14016120096016,11.573820185775354,German Restaurant
Munich,48.1371079,11.5753822,Menterschwaige,48.082126044503,11.545444313354876,German Restaurant
Munich,48.1371079,11.5753822,Münchner Stubn,48.13920287818532,11.559264733232752,Gastropub
Munich,48.1371079,11.5753822,Lindengarten,48.114932286267944,11.678511558930442,German Restaurant
Munich,48.1371079,11.5753822,Trumpf oder Kritisch,48.16110112691462,11.589183247560868,Gastropub
Munich,48.1371079,11.5753822,Schinken-Peter,48.11094790226464,11.584574534278056,German Restaurant
Munich,48.1371079,11.5753822,Brauhaus zur Dicken Sophie,48.169242309844655,11.64692974816813,German Restaurant
Munich,48.1371079,11.5753822,Die Waldeslust,48.07625557114048,11.602764681522022,German Restaurant
Munich,48.1371079,11.5753822,Paulaner's Wirtshaus mit Biergarten,48.15195393817342,11.615857153677693,Beer Garden
Munich,48.1371079,11.5753822,Schuhbecks Orlando,48.138134,11.580219,Bavarian Restaurant
Munich,48.1371079,11.5753822,Zum Brunnergarten,48.17514883803567,11.570129280222542,Bavarian Restaurant
Munich,48.1371079,11.5753822,Cooperativa,48.12761115114301,11.569193627523282,Restaurant
Munich,48.1371079,11.5753822,Bachmaier Hofbräu,48.15802502538975,11.584985801430483,German Restaurant
Munich,48.1371079,11.5753822,Franzz,48.13618067776738,11.462755443149556,German Restaurant
Munich,48.1371079,11.5753822,Trachtenvogl,48.12911213014508,11.575748305274013,Café
Munich,48.1371079,11.5753822,Weinhaus Schneider,48.1368011407753,11.577496960027176,German Restaurant
Munich,48.1371079,11.5753822,Truderinger Wirtshaus,48.12582608763595,11.673946627475228,German Restaurant
Munich,48.1371079,11.5753822,Restaurant am Chinesischen Turm,48.151979441278904,11.592239784513367,Bavarian Restaurant
Munich,48.1371079,11.5753822,Grünwalder Einkehr,48.064891421465134,11.543946494021736,Bavarian Restaurant
Munich,48.1371079,11.5753822,Gasthaus Der Biermann,48.140539,11.681952,Bavarian Restaurant
Berlin,52.5170365,13.3888599,YamYam,52.5275137745473,13.408260083015191,Korean Restaurant
Berlin,52.5170365,13.3888599,WaWa,52.490160741078945,13.355638682768033,Korean Restaurant
Berlin,52.5170365,13.3888599,Kokio,52.539875,13.41632,Korean Restaurant
Berlin,52.5170365,13.3888599,Kimchi Princess,52.498602383397404,13.425877690315247,Korean Restaurant
Berlin,52.5170365,13.3888599,Ixthys,52.494595,13.354297,Korean Restaurant
Berlin,52.5170365,13.3888599,Madang,52.49233804761638,13.390273814294162,Korean Restaurant
Berlin,52.5170365,13.3888599,Babikyu,52.489864,13.387473,Korean Restaurant
Berlin,52.5170365,13.3888599,Omoni,52.54916084567979,13.408934562386694,Korean Restaurant
Berlin,52.5170365,13.3888599,Mmaah,52.480005868543785,13.418033952091465,Korean Restaurant
Berlin,52.5170365,13.3888599,Mmaah,52.49796380961263,13.352626749514283,Korean Restaurant
Berlin,52.5170365,13.3888599,Sushi Bar Ky,52.53975144342176,13.406564638310803,Korean Restaurant
Berlin,52.5170365,13.3888599,Guten Dag Korean Fried Chicken,52.54831304153391,13.413515447811514,Korean Restaurant
Berlin,52.5170365,13.3888599,NaNum,52.502560299809886,13.394136428833008,Korean Restaurant
